customer_id,sessions,usage_minutes,support_tickets,event_date
C001,5,120,0,2024-03-01
C001,5,120,0,2024-03-01
C002,,45,1,2024-03-01
C003,10,5000,2,02-03-2024
C004,2,30,0,2024/03/03
C005,,15,0,2024-03-04
C006,12,400,0,2024-03-04
C007,0,0,3,2024-03-04
C008,4,85,1,2024-03-05
C009,,600,0,2024-03-05
C010,1,10,0,2024-03-06
C011,6,150,2,2024-03-06
C012,20,2500,0,2024-03-07
C001,8,200,1,2024-03-07
C002,3,60,0,2024-03-08
C003,,300,0,invalid_date
C004,1,10,5,2024-03-09
C005,2,25,1,2024-03-09
C006,15,500,0,2024-03-10
C007,,10,2,null
C008,5,110,0,2024-03-11
C009,11,700,1,11/03/2024
C010,,5,0,2024-03-12
C011,7,180,0,2024-03-12
C012,25,3000,1,2024-03-13
C013,5,150,0,2024-03-14
C013,5,150,0,2024-03-14
C014,10,800,1,2024-03-14
C014,10,800,1,2024-03-14
C015,1,5,0,2024-03-15
C016,6,120,2,15/03/2024
C017,12,900,0,2024-03-16
C018,,10,4,2024/03/16
C019,15,1100,1,2024-03-17
C020,4,80,0,null
C021,2,20,5,2024-03-17
C022,0,0,1,2024-03-18
C023,7,210,0,2024-03-18
C024,20,2800,2,19-03-2024
C025,,5,0,2024-03-19
C026,5,130,1,2024-03-20
C027,18,1500,0,2024-03-20
C028,1,5,3,invalid_date
C029,6,140,1,2024-03-21
C030,0,0,0,2024-03-21
C031,2,15,4,2024-03-22
C032,8,250,1,22/03/2024
C033,22,3200,0,2024-03-23
C034,,8,2,2024-03-23
C035,4,90,0,2024-03-24
C036,19,2100,1,2024-03-24
C037,1,5,0,2024-03-25
C038,7,160,2,25/03/2024
C039,25,3500,0,2024-03-26
C040,0,0,6,2024-03-26
C041,5,110,1,null
C042,21,2900,2,2024-03-27
C043,2,12,0,2024-03-27
C044,,95,1,2024-03-28
C045,18,1800,0,28-03-2024
C046,0,0,3,2024-03-29
C047,6,125,1,2024-03-29
C048,22,3100,4,2024-03-30
C049,1,10,0,2024/03/30
C050,,140,2,2024-03-31
C051,20,2700,1,31/03/2024
C052,0,0,5,2024-04-01
C053,8,220,0,2024-04-01
C054,24,3300,1,null
C055,2,15,3,2024-04-02
C056,5,115,0,02-04-2024
C057,20,2600,0,2024-04-03
C058,1,5,2,2024-04-03
C059,,135,1,2024-04-04
C060,30,9999,0,2024-04-04
C061,0,0,4,2024-04-05
C062,7,190,2,05/04/2024
C013,4,110,1,2024-04-06
C014,12,950,0,2024-04-06
C015,1,2,0,2024-04-07
C016,5,100,1,null
C017,14,1200,3,2024-04-07
C018,2,20,5,2024-04-08
C019,16,1300,0,2024-04-08
C020,5,90,1,09-04-2024
C021,1,5,0,2024-04-09
C022,0,0,2,2024-04-10
C023,8,240,0,2024-04-10
C024,22,3000,1,11/04/2024
C025,,10,3,2024-04-11
C026,6,150,0,null
C027,20,1800,2,2024-04-12
C028,2,10,4,2024-04-12
C029,7,160,1,13/04/2024
C030,0,0,1,2024-04-13
C031,3,20,6,2024-04-14
C032,9,280,0,2024-04-14
C033,24,3400,2,15-04-2024
C034,,5,3,2024-04-15
C035,5,110,0,null
C036,20,2300,1,2024-04-16
C037,1,8,0,2024-04-16
C038,8,190,2,17/04/2024
C039,27,3800,1,2024-04-17
C040,0,0,5,invalid_date
C041,6,130,0,2024-04-18
C042,22,3100,3,2024-04-18
C043,3,18,1,19-04-2024
C044,5,105,2,2024-04-19
C045,19,2000,0,null
C046,0,0,4,2024-04-20
C047,7,140,1,20/04/2024
C048,24,3300,2,2024-04-21
C049,2,15,0,2024-04-21
C050,4,160,3,22-04-2024
C051,22,2900,1,2024-04-22
C052,0,0,7,null
C053,9,250,0,2024-04-23
C054,26,3500,2,23/04/2024
C055,3,25,4,2024-04-24
C056,6,135,1,2024-04-24
C057,22,2800,0,25-04-2024
C058,2,10,3,2024-04-25
C059,,150,2,null
C060,32,4500,1,2024-04-26
C061,0,0,5,26/04/2024
C062,8,210,3,2024-04-27
C013,6,180,0,2024-04-27
C014,13,1000,2,null
C015,1,5,1,2024-04-28
C016,7,140,0,28-04-2024
C017,15,1350,1,2024-04-29
C018,3,30,4,29/04/2024
C019,17,1450,0,2024-04-30
C020,6,105,2,null
C021,2,15,1,2024-04-30
C022,0,0,3,01-05-2024
C023,9,270,0,2024-05-01
C024,24,3200,2,null
C025,,15,5,2024-05-02
C026,7,170,1,02/05/2024
C027,22,2000,0,2024-05-03
C028,3,20,6,2024-05-03
C029,8,180,2,null
C030,0,0,2,2024-05-04
C031,4,30,8,04/05/2024
C032,10,310,1,2024-05-05
C033,26,3600,0,05-05-2024
C034,,12,4,null
C035,6,130,1,2024-05-06
C036,22,2500,2,06/05/2024
C037,2,15,0,2024-05-07
C038,9,220,3,07-05-2024
C039,29,4100,1,null
C040,0,0,7,2024-05-08
C041,7,150,2,08/05/2024
C042,24,3300,0,2024-05-09
C043,4,25,1,09-05-2024
C044,6,120,3,null
C045,21,2200,1,2024-05-10
C046,0,0,5,10/05/2024
C047,8,160,2,2024-05-11
C048,26,3500,3,11-05-2024
C049,3,20,1,null
C050,5,180,4,2024-05-12
C051,24,3100,2,12/05/2024
C052,0,0,8,2024-05-13
C053,10,280,1,13-05-2024
C054,28,3700,0,null
C055,4,35,5,2024-05-14
C056,7,155,2,14/05/2024
C057,24,3000,1,2024-05-15
C058,3,15,4,15-05-2024
C059,,175,3,null
C060,35,5000,2,2024-05-16
C061,0,0,6,16/05/2024
C062,9,240,4,2024-05-17
C001,12,450,0,2026-01-10
C002,2,30,1,2026-01-12
C003,15,1200,0,2026-01-15
C004,1,10,2,2026-01-18
C005,5,150,0,2026-01-20
C006,20,2500,1,2026-01-25
C007,0,0,4,2026-01-28
C008,8,220,0,2026-02-02
C009,14,950,1,2026-02-05
C010,1,5,0,2026-02-08
C001,10,380,0,2026-02-10
C011,9,280,2,2026-02-12
C012,25,3100,0,2026-02-15
C013,6,180,1,2026-02-18
C014,11,850,0,2026-02-20
C015,2,15,3,2026-02-22
C016,7,200,1,2026-02-25
C017,18,1600,0,2026-02-28
C018,1,5,5,2026-03-01
C019,22,2900,1,2026-03-02
C020,4,90,0,2026-03-03
C021,2,20,2,2026-03-04
C022,0,0,0,2026-03-05
C023,10,310,0,2026-03-06
C024,28,4200,1,2026-03-07
C025,1,10,4,2026-03-08
C026,6,160,0,2026-03-09
C027,24,2800,2,2026-03-10
C028,2,15,6,2026-03-11
C029,9,230,1,2026-03-12
C030,0,0,2,2026-03-13
C001,15,500,0,2026-03-15
C003,20,1800,0,2026-03-16
C006,22,2900,0,2026-03-17
C009,12,800,1,2026-03-18
C012,30,4000,0,2026-03-19
C014,14,1100,1,2026-03-20
C017,20,1900,0,2026-03-21
C019,25,3500,1,2026-03-22
C024,32,4800,0,2026-03-23
C027,28,3200,1,2026-03-24
C001,18,600,0,2026-03-25
C003,25,2200,0,2026-03-26
C006,25,3200,0,2026-03-27
C009,15,1000,0,2026-03-28
C012,35,5000,1,2026-03-29
C014,16,1300,0,2026-03-30
C017,22,2100,0,2026-03-31
C019,28,4000,0,2026-03-31
C024,35,5500,1,2026-03-31
C002,1,10,2,2026-03-10
C004,0,0,5,2026-03-12
C005,2,40,1,2026-03-15
C007,0,0,8,2026-03-20
C008,3,70,2,2026-03-22
C010,0,0,0,2026-03-25
C011,4,110,3,2026-03-28
C013,2,50,2,2026-03-29
C015,0,0,6,2026-03-30
C016,3,80,2,2026-03-31
