customer_id,sessions,usage_minutes,support_tickets,event_date
C001,5.0,120,0,2024-03-01
C002,7.0,45,1,2024-03-01
C004,2.0,30,0,2024-03-03
C005,7.0,15,0,2024-03-04
C006,12.0,400,0,2024-03-04
C007,0.0,0,3,2024-03-04
C008,4.0,85,1,2024-03-05
C009,7.0,600,0,2024-03-05
C010,1.0,10,0,2024-03-06
C011,6.0,150,2,2024-03-06
C001,8.0,200,1,2024-03-07
C002,3.0,60,0,2024-03-08
C004,1.0,10,5,2024-03-09
C005,2.0,25,1,2024-03-09
C006,15.0,500,0,2024-03-10
C008,5.0,110,0,2024-03-11
C009,11.0,700,1,2024-11-03
C010,7.0,5,0,2024-03-12
C011,7.0,180,0,2024-03-12
C013,5.0,150,0,2024-03-14
C014,10.0,800,1,2024-03-14
C015,1.0,5,0,2024-03-15
C016,6.0,120,2,2024-03-15
C017,12.0,900,0,2024-03-16
C018,7.0,10,4,2024-03-16
C019,15.0,1100,1,2024-03-17
C021,2.0,20,5,2024-03-17
C022,0.0,0,1,2024-03-18
C023,7.0,210,0,2024-03-18
C025,7.0,5,0,2024-03-19
C026,5.0,130,1,2024-03-20
C029,6.0,140,1,2024-03-21
C030,0.0,0,0,2024-03-21
C031,2.0,15,4,2024-03-22
C032,8.0,250,1,2024-03-22
C034,7.0,8,2,2024-03-23
C035,4.0,90,0,2024-03-24
C037,1.0,5,0,2024-03-25
C038,7.0,160,2,2024-03-25
C040,0.0,0,6,2024-03-26
C043,2.0,12,0,2024-03-27
C044,7.0,95,1,2024-03-28
C046,0.0,0,3,2024-03-29
C047,6.0,125,1,2024-03-29
C049,1.0,10,0,2024-03-30
C050,7.0,140,2,2024-03-31
C052,0.0,0,5,2024-04-01
C053,8.0,220,0,2024-04-01
C055,2.0,15,3,2024-04-02
C056,5.0,115,0,2024-02-04
C058,1.0,5,2,2024-04-03
C059,7.0,135,1,2024-04-04
C061,0.0,0,4,2024-04-05
C062,7.0,190,2,2024-05-04
C013,4.0,110,1,2024-04-06
C014,12.0,950,0,2024-04-06
C015,1.0,2,0,2024-04-07
C017,14.0,1200,3,2024-04-07
C018,2.0,20,5,2024-04-08
C019,16.0,1300,0,2024-04-08
C020,5.0,90,1,2024-09-04
C021,1.0,5,0,2024-04-09
C022,0.0,0,2,2024-04-10
C023,8.0,240,0,2024-04-10
C025,7.0,10,3,2024-04-11
C028,2.0,10,4,2024-04-12
C029,7.0,160,1,2024-04-13
C030,0.0,0,1,2024-04-13
C031,3.0,20,6,2024-04-14
C032,9.0,280,0,2024-04-14
C034,7.0,5,3,2024-04-15
C037,1.0,8,0,2024-04-16
C038,8.0,190,2,2024-04-17
C041,6.0,130,0,2024-04-18
C043,3.0,18,1,2024-04-19
C044,5.0,105,2,2024-04-19
C046,0.0,0,4,2024-04-20
C047,7.0,140,1,2024-04-20
C049,2.0,15,0,2024-04-21
C050,4.0,160,3,2024-04-22
C053,9.0,250,0,2024-04-23
C055,3.0,25,4,2024-04-24
C056,6.0,135,1,2024-04-24
C058,2.0,10,3,2024-04-25
C061,0.0,0,5,2024-04-26
C062,8.0,210,3,2024-04-27
C013,6.0,180,0,2024-04-27
C015,1.0,5,1,2024-04-28
C016,7.0,140,0,2024-04-28
C017,15.0,1350,1,2024-04-29
C018,3.0,30,4,2024-04-29
C021,2.0,15,1,2024-04-30
C022,0.0,0,3,2024-01-05
C023,9.0,270,0,2024-05-01
C025,7.0,15,5,2024-05-02
C026,7.0,170,1,2024-02-05
C028,3.0,20,6,2024-05-03
C030,0.0,0,2,2024-05-04
C031,4.0,30,8,2024-04-05
C032,10.0,310,1,2024-05-05
C035,6.0,130,1,2024-05-06
C037,2.0,15,0,2024-05-07
C038,9.0,220,3,2024-07-05
C040,0.0,0,7,2024-05-08
C041,7.0,150,2,2024-08-05
C043,4.0,25,1,2024-09-05
C046,0.0,0,5,2024-10-05
C047,8.0,160,2,2024-05-11
C050,5.0,180,4,2024-05-12
C052,0.0,0,8,2024-05-13
C053,10.0,280,1,2024-05-13
C055,4.0,35,5,2024-05-14
C056,7.0,155,2,2024-05-14
C058,3.0,15,4,2024-05-15
C061,0.0,0,6,2024-05-16
C062,9.0,240,4,2024-05-17
C001,12.0,450,0,2026-01-10
C002,2.0,30,1,2026-01-12
C003,15.0,1200,0,2026-01-15
C004,1.0,10,2,2026-01-18
C005,5.0,150,0,2026-01-20
C007,0.0,0,4,2026-01-28
C008,8.0,220,0,2026-02-02
C009,14.0,950,1,2026-02-05
C010,1.0,5,0,2026-02-08
C001,10.0,380,0,2026-02-10
C011,9.0,280,2,2026-02-12
C013,6.0,180,1,2026-02-18
C014,11.0,850,0,2026-02-20
C015,2.0,15,3,2026-02-22
C016,7.0,200,1,2026-02-25
C018,1.0,5,5,2026-03-01
C020,4.0,90,0,2026-03-03
C021,2.0,20,2,2026-03-04
C022,0.0,0,0,2026-03-05
C023,10.0,310,0,2026-03-06
C025,1.0,10,4,2026-03-08
C026,6.0,160,0,2026-03-09
C028,2.0,15,6,2026-03-11
C029,9.0,230,1,2026-03-12
C030,0.0,0,2,2026-03-13
C001,15.0,500,0,2026-03-15
C009,12.0,800,1,2026-03-18
C014,14.0,1100,1,2026-03-20
C001,18.0,600,0,2026-03-25
C009,15.0,1000,0,2026-03-28
C014,16.0,1300,0,2026-03-30
C002,1.0,10,2,2026-03-10
C004,0.0,0,5,2026-03-12
C005,2.0,40,1,2026-03-15
C007,0.0,0,8,2026-03-20
C008,3.0,70,2,2026-03-22
C010,0.0,0,0,2026-03-25
C011,4.0,110,3,2026-03-28
C013,2.0,50,2,2026-03-29
C015,0.0,0,6,2026-03-30
C016,3.0,80,2,2026-03-31
